กำลังอ่านข้อมูลจาก MSSQL...
พบข้อมูลทั้งหมด: 47536 รายการ
กำลังนำเข้าข้อมูล...

[1/47536] DB1:I:0 U:0 | DB2:I:0 U:0 
[2/47536] DB1:I:1 U:0 | DB2:I:1 U:0 
[3/47536] DB1:I:2 U:0 | DB2:I:2 U:0 
[4/47536] DB1:I:3 U:0 | DB2:I:3 U:0 
[5/47536] DB1:I:4 U:0 | DB2:I:4 U:0 
[6/47536] DB1:I:5 U:0 | DB2:I:5 U:0 
[7/47536] DB1:I:6 U:0 | DB2:I:6 U:0 
[8/47536] DB1:I:7 U:0 | DB2:I:7 U:0 
[9/47536] DB1:I:8 U:0 | DB2:I:8 U:0 
[10/47536] DB1:I:9 U:0 | DB2:I:9 U:0 
[11/47536] DB1:I:10 U:0 | DB2:I:10 U:0 
[12/47536] DB1:I:11 U:0 | DB2:I:11 U:0 
[13/47536] DB1:I:12 U:0 | DB2:I:12 U:0 
[14/47536] DB1:I:13 U:0 | DB2:I:13 U:0 
[15/47536] DB1:I:14 U:0 | DB2:I:14 U:0 
[16/47536] DB1:I:15 U:0 | DB2:I:15 U:0 
[17/47536] DB1:I:16 U:0 | DB2:I:16 U:0 
[18/47536] DB1:I:17 U:0 | DB2:I:17 U:0 
[19/47536] DB1:I:18 U:0 | DB2:I:18 U:0 
[20/47536] DB1:I:19 U:0 | DB2:I:19 U:0 
[21/47536] DB1:I:20 U:0 | DB2:I:20 U:0 
[22/47536] DB1:I:21 U:0 | DB2:I:21 U:0 
[23/47536] DB1:I:22 U:0 | DB2:I:22 U:0 
[24/47536] DB1:I:23 U:0 | DB2:I:23 U:0 
[25/47536] DB1:I:24 U:0 | DB2:I:24 U:0 
[26/47536] DB1:I:25 U:0 | DB2:I:25 U:0 
[27/47536] DB1:I:26 U:0 | DB2:I:26 U:0 
[28/47536] DB1:I:27 U:0 | DB2:I:27 U:0 
[29/47536] DB1:I:28 U:0 | DB2:I:28 U:0 
[30/47536] DB1:I:29 U:0 | DB2:I:29 U:0 
[31/47536] DB1:I:30 U:0 | DB2:I:30 U:0 
[32/47536] DB1:I:31 U:0 | DB2:I:31 U:0 
[33/47536] DB1:I:32 U:0 | DB2:I:32 U:0 
[34/47536] DB1:I:33 U:0 | DB2:I:33 U:0 
[35/47536] DB1:I:34 U:0 | DB2:I:34 U:0 
[36/47536] DB1:I:35 U:0 | DB2:I:35 U:0 
[37/47536] DB1:I:36 U:0 | DB2:I:36 U:0 
[38/47536] DB1:I:37 U:0 | DB2:I:37 U:0 
[39/47536] DB1:I:38 U:0 | DB2:I:38 U:0 
[40/47536] DB1:I:39 U:0 | DB2:I:39 U:0 
[41/47536] DB1:I:40 U:0 | DB2:I:40 U:0 
[42/47536] DB1:I:41 U:0 | DB2:I:41 U:0 
[43/47536] DB1:I:42 U:0 | DB2:I:42 U:0 
[44/47536] DB1:I:43 U:0 | DB2:I:43 U:0 
[45/47536] DB1:I:44 U:0 | DB2:I:44 U:0 
[46/47536] DB1:I:45 U:0 | DB2:I:45 U:0 
[47/47536] DB1:I:46 U:0 | DB2:I:46 U:0 
[48/47536] DB1:I:47 U:0 | DB2:I:47 U:0 
[49/47536] DB1:I:48 U:0 | DB2:I:48 U:0 
[50/47536] DB1:I:49 U:0 | DB2:I:49 U:0 
[51/47536] DB1:I:50 U:0 | DB2:I:50 U:0 
[52/47536] DB1:I:51 U:0 | DB2:I:51 U:0 
[53/47536] DB1:I:52 U:0 | DB2:I:52 U:0 
[54/47536] DB1:I:53 U:0 | DB2:I:53 U:0 
[55/47536] DB1:I:54 U:0 | DB2:I:54 U:0 
[56/47536] DB1:I:55 U:0 | DB2:I:55 U:0 
[57/47536] DB1:I:56 U:0 | DB2:I:56 U:0 
[58/47536] DB1:I:57 U:0 | DB2:I:57 U:0 
[59/47536] DB1:I:58 U:0 | DB2:I:58 U:0 
[60/47536] DB1:I:59 U:0 | DB2:I:59 U:0 
[61/47536] DB1:I:60 U:0 | DB2:I:60 U:0 
[62/47536] DB1:I:61 U:0 | DB2:I:61 U:0 
[63/47536] DB1:I:62 U:0 | DB2:I:62 U:0 
[64/47536] DB1:I:63 U:0 | DB2:I:63 U:0 
[65/47536] DB1:I:64 U:0 | DB2:I:64 U:0 
[66/47536] DB1:I:65 U:0 | DB2:I:65 U:0 
[67/47536] DB1:I:66 U:0 | DB2:I:66 U:0 
[68/47536] DB1:I:67 U:0 | DB2:I:67 U:0 
[69/47536] DB1:I:68 U:0 | DB2:I:68 U:0 
[70/47536] DB1:I:69 U:0 | DB2:I:69 U:0 
[71/47536] DB1:I:70 U:0 | DB2:I:70 U:0 
[72/47536] DB1:I:71 U:0 | DB2:I:71 U:0 
[73/47536] DB1:I:72 U:0 | DB2:I:72 U:0 
[74/47536] DB1:I:73 U:0 | DB2:I:73 U:0 
[75/47536] DB1:I:74 U:0 | DB2:I:74 U:0 
[76/47536] DB1:I:75 U:0 | DB2:I:75 U:0 
[77/47536] DB1:I:76 U:0 | DB2:I:76 U:0 
[78/47536] DB1:I:77 U:0 | DB2:I:77 U:0 
[79/47536] DB1:I:78 U:0 | DB2:I:78 U:0 
[80/47536] DB1:I:79 U:0 | DB2:I:79 U:0 
[81/47536] DB1:I:80 U:0 | DB2:I:80 U:0 
[82/47536] DB1:I:81 U:0 | DB2:I:81 U:0 
[83/47536] DB1:I:82 U:0 | DB2:I:82 U:0 
[84/47536] DB1:I:83 U:0 | DB2:I:83 U:0 
[85/47536] DB1:I:84 U:0 | DB2:I:84 U:0 
[86/47536] DB1:I:85 U:0 | DB2:I:85 U:0 
[87/47536] DB1:I:86 U:0 | DB2:I:86 U:0 
[88/47536] DB1:I:87 U:0 | DB2:I:87 U:0 
[89/47536] DB1:I:88 U:0 | DB2:I:88 U:0 
